File,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
control1.csv,91,0.27880336875909273,0.8623839399999862,,,
end1.csv,56,0.07104023522219989,0.9696872126245604,,,
high1.csv,40,0.0859005311167576,0.8729933965800744,,,
high2.csv,77,0.08224377099759043,0.9775410019705836,,,
high3.csv,77,0.5666885422692621,0.5969958890420949,,,
high4.csv,62,0.09594926586144491,0.9462193544237362,,,
high5.csv,89,0.06124981472063677,0.9144264171210367,,,
high6.csv,54,0.1917178491654905,0.8788873618447851,,,
intervene1.csv,34,0.5038676670530944,0.5895622201841509,,,
low1.csv,57,0.2120530043800738,0.9430426043464247,,,
low2.csv,54,0.22918629204351515,0.8478647021986568,,,
low3.csv,55,0.16250171627133336,0.9285279489926007,,,
low4.csv,66,0.15527930484127372,0.9227957793760478,,,
low5.csv,81,0.08146487665352263,0.9640939546344084,,,
low6.csv,83,0.08028654656807216,0.9556243003876875,,,
mid1.csv,53,0.12560289234112598,0.9324504656157685,,,
mid2.csv,85,0.06467004402829248,0.9767224762326214,,,
mid3.csv,54,0.12110856135504351,0.9446700376185471,,,
mid4.csv,33,0.09137509609574597,0.8618903485532567,,,
mid5.csv,4,0.32052038942592603,0.9794558355142123,,,
mid6.csv,66,0.11554662808576567,0.9414430517182508,,,
start1.csv,79,0.09206647819575507,0.9664742892995827,,,
