File,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
end1.csv,5,0.5063589083455328,0.8455797689753033,,,
high1.csv,78,0.33951726737193905,0.9050238470841857,,,
high2.csv,63,0.4442947936363686,0.5888023856454977,,,
high3.csv,89,0.14317315829638833,0.9770400791513352,,,
high4.csv,72,0.17684862127355838,0.9256384018086238,,,
high5.csv,70,0.18121470948537172,0.8708482468781176,,,
low1.csv,93,0.4138534269006649,0.6021962155186045,,,
low2.csv,54,0.3216424261441263,0.775180416554524,,,
low3.csv,59,0.33871992657235306,0.8217064576184231,,,
low4.csv,44,0.24562370515855736,0.6944028992627217,,,
low5.csv,50,0.38233631990332156,0.7227928398179012,,,
mid1.csv,45,0.2895554494164091,0.8880578241059331,,,
mid2.csv,48,0.22295165151245255,0.7702698741725413,,,
mid3.csv,73,0.31320118740243935,0.8272301839747203,,,
mid4.csv,82,0.2303043537287967,0.8748636356036026,,,
mid5.csv,27,0.37532499046191736,0.6017074735681742,,,
start1.csv,91,0.271359860958849,0.8567690698165936,,,
