File,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
control1.csv,2,1.2641546403174067,0.956655219204742,,,
end1.csv,9,0.028520993064662332,0.9976450790463401,,,
high1.csv,11,0.054377245117048445,0.9851429377670552,,,
high2.csv,6,0.10279939725771843,0.9661573830232794,,,
high3.csv,8,0.10832076557329945,0.9986160611443398,,,
high4.csv,5,0.4284056073683872,0.7723971754698956,,,
high5.csv,1,1.9729293508763708,0.924786349699877,,,
intervene1.csv,4,0.3512513702266132,0.886207134081266,,,
low1.csv,3,1.1053991850827845,0.9202980684295011,,,
low2.csv,3,0.46551229751069045,0.9330872620211069,,,
low3.csv,1,0.01379153760571894,0.8623224354208404,,,
low4.csv,4,0.24770621532748785,0.9275258703826808,,,
low5.csv,1,2.2872237220232248,0.8442756281243794,,,
mid1.csv,4,0.04877249079076124,0.9329148854315024,,,
mid2.csv,6,0.317795212955762,0.9292188076441515,,,
mid3.csv,2,0.6515852093593231,0.7575891284634514,,,
mid4.csv,2,1.6153515011107848,0.9029790583411489,,,
mid5.csv,2,1.3225855677970435,0.46623582194248236,,,
start1.csv,5,1.3352095082771902,0.8188872431166017,,,
