File,SCR_Peaks_N,SCR_Peaks_Amplitude_Mean,EDA_Tonic_SD,EDA_Sympathetic,EDA_SympatheticN,EDA_Autocorrelation
end1.csv,39,0.006075742595187979,0.9936328182517115,,,
high1.csv,2,2.4833351479436176,0.7437235856279765,,,
high2.csv,2,1.5931359906406029,0.7743136694604086,,,
high3.csv,54,0.006820629651141801,0.9688260480350559,,,
high4.csv,2,0.003104884253179877,0.9748766845766302,,,
high5.csv,59,0.009094095550003276,0.9805977186463591,,,
high6.csv,1,2.45368620831238,0.8356403061826867,,,
high7.csv,1,1.1791192271942106,0.9505655275314298,,,
low1.csv,3,0.8186286230393521,0.8366697686331486,,,
low2.csv,41,0.00862949272251841,0.9770143769753502,,,
low3.csv,4,0.2594904597897615,0.9391496703446199,,,
low4.csv,7,0.08053660893529815,0.9765513822636425,,,
low5.csv,77,0.008960820114969506,0.9904950461745349,,,
low6.csv,41,0.008456717293610697,0.9753431041243444,,,
mid1.csv,70,0.01544171371631516,0.9761783817094818,,,
mid2.csv,43,0.015144039520373728,0.985897022690261,,,
mid3.csv,60,0.010446981284077301,0.9950330652480448,,,
mid4.csv,22,0.02347809711240887,0.979077881305899,,,
mid5.csv,24,0.02574250549651509,0.9728977854187478,,,
start1.csv,14,0.013458102646140726,0.9870977244920898,,,
